metric,value,unit
Altitude,500.00,km
Radius,6878.14,km
Velocity,7.613,km/s
Escape velocity,10.766,km/s
Gravity,8.426,m/s^2
Period,94.62,min
Orbits per day,15.22,rev/day
Angular velocity,0.001107,rad/s
Mean motion,15.22,rev/day
Horizon distance,2574.52,km
Ground footprint radius,2446.95,km
Horizon angle,21.98,deg
Specific energy,-28.976,km^2/s^2
